symbol,name,reportDate,fiscalDateEnding,estimate,currency
ACHC,Acadia Healthcare Company Inc,4/24/2024,3/31/2024,0.8123,USD
ACHL,Achilles Therapeutics Plc,3/5/2024,12/31/2023,-0.14,USD
ACHL,Achilles Therapeutics Plc,5/8/2024,3/31/2024,-0.55,USD
ACHR,Archer Aviation Inc - Class A,2/26/2024,12/31/2023,-0.28,USD
ACHR,Archer Aviation Inc - Class A,5/9/2024,3/31/2024,-0.37,USD
ACHV,Achieve Life Sciences Inc,3/14/2024,12/31/2023,-0.32,USD
ACHV,Achieve Life Sciences Inc,5/7/2024,3/31/2024,-0.3133,USD
ACI,Albertsons Companies Inc - Class A,4/9/2024,2/29/2024,0.52,USD
ACIC,American Coastal Insurance Corp,2/29/2024,12/31/2023,-0.1,USD
ACIC,American Coastal Insurance Corp,5/13/2024,3/31/2024,0.37,USD
ACIW,ACI Worldwide Inc,2/29/2024,12/31/2023,0.97,USD
ACIW,ACI Worldwide Inc,5/2/2024,3/31/2024,-0.1533,USD
ACLS,Axcelis Technologies Inc,5/1/2024,3/31/2024,1.24,USD
ACLX,Arcellx Inc,3/21/2024,12/31/2023,-0.5325,USD
ACLX,Arcellx Inc,5/8/2024,3/31/2024,-0.629,USD
ACM,AECOM,5/6/2024,3/31/2024,1.03,USD
ACMR,ACM Research Inc - Class A,2/28/2024,12/31/2023,0.17,USD
ACMR,ACM Research Inc - Class A,5/3/2024,3/31/2024,0.1643,USD
ACMTA,ACMTA,3/15/2024,12/31/2023,,USD
ACMTA,ACMTA,5/6/2024,3/31/2024,,USD
ACN,Accenture plc - Class A,3/21/2024,2/29/2024,2.66,USD
ACNB,ACNB Corp,4/25/2024,3/31/2024,0.79,USD
ACNT,Ascent Industries Company,3/29/2024,12/31/2023,-0.08,USD
ACNT,Ascent Industries Company,5/7/2024,3/31/2024,0.17,USD
ACON,Aclarion Inc,2/28/2024,12/31/2023,-1.6,USD
ACOR,Acorda Therapeutics Inc,3/7/2024,12/31/2023,,USD
ACOR,Acorda Therapeutics Inc,5/2/2024,3/31/2024,,USD
ACR,ACRES Commercial Realty Corp,2/28/2024,12/31/2023,0.47,USD
ACR,ACRES Commercial Realty Corp,5/1/2024,3/31/2024,0.41,USD
ACRE,Ares Commercial Real Estate Corp,2/22/2024,12/31/2023,-0.01,USD
ACRE,Ares Commercial Real Estate Corp,4/30/2024,3/31/2024,0.2714,USD
ACRG,ACRG,4/17/2024,3/31/2024,,USD
ACRHF,ACRHF,3/20/2024,12/31/2023,,USD
ACRHF,ACRHF,5/20/2024,3/31/2024,,USD
ACRS,Aclaris Therapeutics Inc,5/6/2024,3/31/2024,-0.3159,USD
ACRV,Acrivon Therapeutics Inc,3/26/2024,12/31/2023,-0.72,USD
ACRV,Acrivon Therapeutics Inc,5/7/2024,3/31/2024,-0.79,USD
ACRX,ACRX,3/28/2024,12/31/2023,-0.18,USD
ACRX,ACRX,5/8/2024,3/31/2024,,USD
ACT,Enact Holdings Inc,5/1/2024,3/31/2024,0.94,USD
ACTG,Acacia Research Corp,3/14/2024,12/31/2023,0.07,USD
ACTG,Acacia Research Corp,5/9/2024,3/31/2024,0.15,USD
ACTHF,ACTHF,4/25/2024,2/29/2024,,USD
ACU,Acme United Corp,2/29/2024,12/31/2023,0.55,USD
ACU,Acme United Corp,4/19/2024,3/31/2024,0.57,USD
ACUR,ACUR,2/28/2024,12/31/2023,0,USD
ACUS,ACUS,2/28/2024,12/31/2023,0,USD
ACUS,ACUS,5/10/2024,3/31/2024,0,USD
ACVA,ACV Auctions Inc - Class A,5/8/2024,3/31/2024,0.0191,USD
ACXP,Acurx Pharmaceuticals Inc,3/14/2024,12/31/2023,-0.26,USD
ACXP,Acurx Pharmaceuticals Inc,5/10/2024,3/31/2024,-0.2267,USD
ADAG,Adagene Inc,3/28/2024,12/31/2023,-1.23,USD
ADAP,Adaptimmune Therapeutics Plc,3/6/2024,12/31/2023,-0.1,USD
ADAP,Adaptimmune Therapeutics Plc,5/6/2024,3/31/2024,-0.1358,USD
ADBE,Adobe Inc,3/14/2024,2/29/2024,4.06,USD
ADBRF,ADBRF,2/28/2024,12/31/2023,,USD
ADC,Agree Realty Corp,5/2/2024,3/31/2024,0.45,USD
ADCOF,ADCOF,3/27/2024,12/31/2023,,USD
ADCOF,ADCOF,5/8/2024,3/31/2024,,USD
ADCT,Adc Therapeutics SA,2/26/2024,12/31/2023,-0.5,USD
ADCT,Adc Therapeutics SA,5/7/2024,3/31/2024,-0.5149,USD
ADEA,Adeia Inc,5/6/2024,3/31/2024,0.33,USD
ADER,ADER,4/15/2024,3/31/2024,,USD
ADES,ADES,3/6/2024,12/31/2023,-0.08,USD
ADES,ADES,5/7/2024,3/31/2024,,USD
ADFS,ADFS,2/28/2024,12/31/2023,0,USD
ADFS,ADFS,5/13/2024,3/31/2024,0,USD
ADI,Analog Devices Inc,5/22/2024,4/30/2024,1.6,USD
ADIL,Adial Pharmaceuticals Inc,3/28/2024,12/31/2023,-0.99,USD
ADIL,Adial Pharmaceuticals Inc,5/10/2024,3/31/2024,,USD
ADM,Archer Daniels Midland Company,4/23/2024,3/31/2024,1.72,USD
ADMA,Adma Biologics Inc,5/8/2024,3/31/2024,0.0225,USD
ADMLF,ADMLF,3/28/2024,12/31/2023,-0.04,USD
ADMP,ADMP,3/14/2024,12/31/2023,,USD
ADMP,ADMP,5/13/2024,3/31/2024,,USD
ADN,Advent Technologies Holdings Inc - Class A,3/29/2024,12/31/2023,-0.15,USD
ADN,Advent Technologies Holdings Inc - Class A,5/13/2024,3/31/2024,,USD
ADNT,Adient plc,5/2/2024,3/31/2024,0.5385,USD
ADOOY,ADOOY,3/5/2024,12/31/2023,0.656,USD
