symbol,name,reportDate,fiscalDateEnding,estimate,currency
ACCD,Accolade Inc,2024-04-25,2024-02-29,-0.06,USD
ACCFF,ACCFF,2024-03-21,2023-12-31,,CAD
ACCFF,ACCFF,2024-05-06,2024-03-31,,CAD
ACCO,Acco Brands Corporation,2024-02-22,2023-12-31,0.33,USD
ACCO,Acco Brands Corporation,2024-05-02,2024-03-31,0.029,USD
ACCYY,ACCYY,2024-02-22,2023-12-31,0,EUR
ACCYY,ACCYY,2024-04-24,2024-03-31,0,EUR
ACDC,ProFrac Holding Corp Class A,2024-03-21,2023-12-31,0.02,USD
ACDC,ProFrac Holding Corp Class A,2024-05-10,2024-03-31,0.1931,USD
ACDVF,ACDVF,2024-05-10,2024-03-31,-0.07,CAD
ACEL,Accel Entertainment Inc - Class A1,2024-02-28,2023-12-31,0.18,USD
ACEL,Accel Entertainment Inc - Class A1,2024-05-01,2024-03-31,0.2348,USD
ACER,ACER,2024-03-25,2023-12-31,-0.09,USD
ACER,ACER,2024-05-13,2024-03-31,,USD
ACET,Adicet Bio Inc,2024-03-13,2023-12-31,-0.69,USD
ACET,Adicet Bio Inc,2024-05-07,2024-03-31,-0.7143,USD
ACFN,ACFN,2024-03-14,2023-12-31,,USD
ACFN,ACFN,2024-05-09,2024-03-31,,USD
ACFND,ACFND,2024-03-14,2023-12-31,,USD
ACFND,ACFND,2024-05-09,2024-03-31,,USD
ACGL,Arch Capital Group Ltd,2024-04-24,2024-03-31,2.04,USD
ACGN,ACGN,2024-04-11,2024-03-31,,USD
ACHC,Acadia Healthcare Company Inc,2024-02-27,2023-12-31,0.79,USD
ACHC,Acadia Healthcare Company Inc,2024-04-24,2024-03-31,0.8123,USD
ACHL,Achilles Therapeutics Plc,2024-03-05,2023-12-31,-0.14,USD
ACHL,Achilles Therapeutics Plc,2024-05-08,2024-03-31,-0.55,USD
ACHR,Archer Aviation Inc - Class A,2024-02-26,2023-12-31,-0.28,USD
ACHR,Archer Aviation Inc - Class A,2024-05-09,2024-03-31,-0.37,USD
ACHV,Achieve Life Sciences Inc,2024-03-14,2023-12-31,-0.32,USD
ACHV,Achieve Life Sciences Inc,2024-05-07,2024-03-31,-0.3133,USD
ACI,Albertsons Companies Inc - Class A,2024-04-09,2024-02-29,0.52,USD
ACIC,American Coastal Insurance Corp,2024-02-29,2023-12-31,-0.1,USD
ACIC,American Coastal Insurance Corp,2024-05-13,2024-03-31,0.37,USD
ACIU,AC Immune SA,2024-03-11,2023-12-31,-0.12,CHF
ACIU,AC Immune SA,2024-04-26,2024-03-31,,CHF
ACIW,ACI Worldwide Inc,2024-02-29,2023-12-31,0.97,USD
ACIW,ACI Worldwide Inc,2024-05-02,2024-03-31,-0.1533,USD
